ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Pay with Credit Card (TEST),Payer avec une carte de crédit (TEST),
Pay with Credit Card,Payer avec une carte de crédit,
Pay with card ending %@,Payer avec la carte finissant par %@,
Pay with new card,Payer avec une nouvelle carte,
Pay,Payer,
Please enter your first and last name.,Merci d'entrer votre nom et prénom.,
Please fill in Line 1 of the address.,Merci de remplir la première ligne de votre adresse.,
Please fill in your city.,Merci de remplir votre ville,
Please fill in your postal code.,Merci de remplir votre code postal.,
Please scan the QR code using a QR reader app on your device.,Veuillez scanner le QR code en utilisant un lecteur QR sur votre smartphone.,
Please select %d images.,Merci de sélectionner %d images.,
Please select %ld photos,Merci de sélectionner %ld photos,
Please select at least %d images.,Merci de sélectionner au moins %d images.,
Please select no more than %d images.,Veuille à ne pas sélectionner plus de %d images.,
Please select only %ld photo,Merci de sélectionner uniquement %ld photo,
Please select some images.,Merci de sélectionner des images.,
Please select up to %ld photos,Merci de sélectionner %ld photos maximum,
Please zoom out or pick a higher quality image,Agrandissez l’image ou sélectionnez une autre image de meilleure qualité,
Postcode,Code Postale,
Powered by Kite.ly,Propulsé par Kite.ly,
Price,Prix,
Print It Anyway,Imprimer cette image,
Print Shop,Print shop,
Print order submission failed with a %lu HTTP response status code. Please try again.,La soumission de commande d'impression a échoué avec un code d'état de réponse HTTP %lu. Veuillez réessayer.,
Print these,Imprimer ceci,
Processing,En cours de traitement,
Promo Code,Code Promo,
Promotional Discount,Remise promotionnelle,
Quantity,Quantité,
Receipt,Reçu,
Recents,Récents,
Remove,Retirer,
Remove?,Retirer ?,
Required by the postal service in case there are any issues during delivery.,Requis par les services postaux en cas de problèmes durant la livraison.,
Retry,Réessayer,
Review,Revoir,
Rotate,Pivoter,
Save,Sauvegarder,
Scan QR Code,QR Code,
Search for Address,Rechercher une adresse,
Select Size,Choisis la taille,
Shipping,Livraison,
Single Photo Poster,Affiche avec une seule photo,
Size,Taille,
Small,Petit,
Start Creating,Commencer la création,
Start by tapping this button,Commence par appuyer sur ce bouton,
State,Etat,
Store Maintenance,Magagsin en Maintenance,
Swipe to rotate your mug,Glisser pour tourner ton mug,
TEXT TOOLS,OUTILES DE TEXTE,
Tap image to change,Tapez sur l'image pour changer,
Tap image to edit,tapez sur l'image pour modifier,
Tap on this button,Appuies sur ce bouton,
Tap to edit,Tapezpour modifier,
Tap to swap pages. Hold for more options.,Tapez pour interchanger les pages. Maintenir pour plus d'options.,
Text Colour,Couleur du texte,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Un problème est survenu lors de l'achat des produits Print shop. Vérifiez votre connexion Internet ou réessayez plus tard.,
There was an error getting one of your photos. Please remove or replace it.,Une erreur s'est produite lors de l'envoi d'une de vos photos. Veuillez la retirer ou la remplacer.,
There was an error trying to validate the card. Please try again later.,Une erreur s'est produite lors de la validation de la carte. Veuillez réessayer plus tard.,
This is the 3-4 digit verification number/security code normally found on the back of your card,Il s'agit du numéro de vérification / code de sécurité de 3 à 4 chiffres qui se trouve normalement au dos de votre carte,
This will discard your edits.,Ceci annulera vos modifications.,
Total,Total,
Uploading Images \n%lu / %lu,Images en cours de téléchargement \n%lu / %lu,
Uploading book,Chargement du livre,
View Item,Voir les éléments,
WE HAVE RECEIVED\nYOUR ORDER,NOUS AVONS REÇU\nVOTRE COMMANDE,
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,Nous vous enverrons une confirmation et des mises à jour de commande. Décochez cette case si vous ne souhaitez pas recevoir d'emails de notre part.,
We'll send you confirmation and order updates.,Nous vous enverrons une confirmation et des mises à jour de commande.,
Yes Please,Oui s'il vous plaît,
Yes,Oui,
You can add %d more for the same price.,Vous pouvez ajouter %d de plus pour le même prix.,
You can add more photos,Vous pouvez ajouter plus de photos,
You need to authorize the app to access your Instagram account if you want to import photos from there.,Vous devez autoriser l'application à accéder à votre compte Instagram si vous souhaitez importer des photos à partir de là.,
You've only selected %d photo.,Vous avez sélectionné seulement %d photo.,
You've only selected %d photos.,Vous avez sélectionné seulement %d photos.,
You've selected %d photos.,Vous avez sélectionné %d photos.,
Your 15-16 digit card number,N° de carte (15-16 chiffres),
Your Phone,Votre téléphone,
Your card expiry date,Date d'expiration de votre carte,
Your payment was not approved (transaction state: %@). Please try again.,Votre paiement n'a pas été approuvé (état de transaction : %@). Veuillez réessayer.,
ZIP Code,Code postal,
basket.Edit,Modifier,
cm,cm,
inches,pouces,
