ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Failed to log in to Instagram. Please check your internet connectivity and try again,Nie udało się zalogować do aplikacji Instagram. Sprawdź połączenie internetowe i spróbuj ponownie,
"Failed to validate card details, please try again.","Nie udało się uwierzytelnić informacji dotyczących karty, spróbuj ponownie.",
Filters,Filtry,
Flip,Odwróć,
Fonts,Czcionki,
For only %@ extra,Dodatkowo tylko %@,
FREE,DARMOWE,
From,Od,
FRONT,PRZÓD,
Great gifts for all the family,Wspaniałe prezenty dla całej rodziny,
IMAGE TOOLS,NARZĘDZIA OBRAZU,
Image upload failed with a %lu HTTP response status code. Please try again.,Przesyłanie obrazu nie udało się przy kodzie statusu odpowiedzi HTTP %lu. Spróbuj ponownie.,
inches,cale,
Large,Duże,
Let's pick\nan image!,Wybierz\n zdjęcie!,
Log In,Zaloguj się,
Log out,Wyloguj się,
Login,Logowanie,
Maximum Photos Reached,Osiągnięto maksymalną liczbę zdjęć,
Medium,Średnie,
MM/YY,MM/RR,
MORE ITEMS\nCOMING SOON!,WKRÓTCE\nWIĘCEJ PRODUKTÓW!,
No,Nie,
No Thanks,"Nie, dziękuję",
"No, keep it","Nie, zachowaj",
Not now,Nie teraz,
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,UPS\nWYSTĄPIŁY JAKIEŚ PROBLEMYY\nSPRÓBUJ PONOWNIE PONIŻEJ,
Or print on a product below â–¼,Lub wydrukuj na produkcie poniżej â–¼,
Order History,Historia zamówień,
Pack of,Pakiet,
Photo Library,Biblioteka fotografii,
Please add %d more.,Dodaj % więcej.,
Please add some photos,Dodaj więcej zdjęć.,
Please enter your first and last name.,Wprowadź swoje imię i nazwisko.,
Please fill in Line 1 of the address.,Wypełnij linijkę 1 adresu.,
Please fill in your city.,Wprowadź miasto.,
Please fill in your postal code.,Wprowadź kod pocztowy.,
Please scan the QR code using a QR reader app on your device.,Zeskanuj kod QR za pomocą aplikacji czytnika QR w urządzeniu.,
Please select %d images.,Wybierz %d obrazów.,
Please select %ld photos,Wybierz %Id zdjęć.,
Please select at least %d images.,Wybierz przynajmniej %d obrazów.,
Please select no more than %d images.,Wybierz nie więcej niż %d obrazów.,
Please select only %ld photo,Wybierz tylko %Id zdjęcie.,
Please select some images.,Wybierz jakieś obrazy.,
Please select up to %ld photos,Wybierz nie więcej niż %Id zdjęć,
PRINT AT HOME,WYDRUKUJ W DOMU,
Print It Anyway,"Nieważne, wydrukuj",
Print Shop,Print Shop,
Privacy Policy,Polityka prywatności,
PRODUCT OPTIONS,OPCJE PRODUKTÓW,
Promotional Discount,Rabat promocyjny,
Receipt,Odbiór,
Recents,Ostatnie,
Remove?,Usunąć?,
Rotate,Obróć,
Save as Copy,Zapisz jako kopię,
Scan QR Code,Zeskanuj kod QR,
Select Size,Wybierz rozmiar,
Shipping Method,Metoda wysyłki,
Small,Małe,
Start by tapping this button,Rozpocznij poprzez stuknięcie w przycisk,
Start Creating,Zacznij tworzenie,
Swipe to rotate your mug,"Przesuń palcem, aby obrócić kubek",
Tap image to change,"Stuknij w obraz, aby zmienić",
Tap image to change or hold to move,"Stuknij w obraz, aby zmienić lub przytrzymaj, aby przenieść",
Tap image to edit,"Stuknij w obraz, aby dokonać edycji",
Tap image to edit or hold to move,"Stuknij w obraz, aby dokonać edycji lub przytrzymaj, aby przenieść",
Tap on this button,Stuknij w przycisk,
Text Colour,Kolor tekstu,
TEXT TOOLS,NARZĘDZIA TEKSTU,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Wystąpił problem z produktami Print Shop. Sprawdź połączenie internetowe i spróbuj ponownie później.,
There was an error getting one of your photos. Please remove or replace it.,Wystąpił problem z odbiorem jednego ze zdjęć. Usuń lub zamień je.,
There was an error trying to validate the card. Please try again later.,Wystąpił problem z uwierzytelnieniem karty. Spróbuj ponownie później.,
This will discard your edits.,Spowoduje to odrzucenie edycji.,
"This will log out of any accounts, clear selected photos and start over","Spowoduje to wylogowanie ze wszystkich kont, wyczyszczenie wybranych zdjęć i rozpoczęcie od początku.",
Tracked,Śledzone,
Uploading book,Wysyłanie fotoksiążki,
View Item,Podgląd elementu,
WE HAVE RECEIVED\nYOUR ORDER,OTRZYMALIŚMY\nTWOJE ZAMÓWIENIE,
Yes,Tak,
Yes Please,"Tak, poproszę",
"Yes, remove it","Tak, usuń",
You need to authorize the app to access your Instagram account if you want to import photos from there.,"Jeśli chcesz importować zdjęcia z tego miejsca, musisz dokonać autoryzacji aplikacji, aby mieć dostęp do konta na Instagramie.",
You've only selected %d photo.,Wybrano tylko %d zdjęcie.,
You've only selected %d photos.,Wybrano tylko %d zdjęć.,
Your Phone,Twój telefon,
We need access to your %@ photos, Potrzebujemy dostępu do zdjęć w urządzeniu %@,
working days,dni robocze,
