ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Edit Poster,Modifica poster,
Edit Address,Modifica indirizzo,
Enter a valid CVV number,Inserisci un codice CVV valido,
Enter a valid card number,Inserisci un numero di carta valido,
Enter a valid expiry date,Inserisci una data di scadenza valida,
Enter Address Manually,Inserisci indirizzo manualmente,
Error validating the order. Please try again later.,Riprova più tardi.,
Failed to get upload URL. Try again later.,Tentativo fallito per ottenere l'URL di upload. Per favore riprova più tardi.,
Failed to download phone case mask. Please check your internet connectivity and try again,Tentativo fallito di download della custodia telefono. Controlla la tua connessione a internet e riprova.,
Failed to get the price of the order. Please try again.,Tentativo fallito per ottenere il prezzo dell'ordine. Per favore riprova.,
Failed to log in to Instagram. Please check your internet connectivity and try again,Tentativo fallito per eseguire l'accesso a Instagram. Controlla la tua connessione a internet e riprova,
Failed to store card details with PayPal. Please try again.,Impossibile salvare i dettagli della carta con PayPal. Riprova più tardi.,
Failed to synchronize product templates. Please try again.,Impossibile sincronizzare i template dei prodotti. Riprova.,
"Failed to validate card details, please try again.","Impossibile verificare i dettagli della carta, riprova.",
Failed to validate the order. Please try again.,Impossibile verificare l'ordine. Riprova.,
First Name,Nome,
Filters,Filtri,
Flip,Capovolgi,
Fonts,Font,
FREE,GRATUITO,
Great gifts for all the family,Ottimi regali per tutta la famiglia,
For only %@ extra,Per soli %@ più,
FRONT,FRONTE,
Image Is Too Small,L'immagine è troppo piccola,
IMAGE TOOLS,STRUMENTI IMMAGINE,
Image upload failed with a %lu HTTP response status code. Please try again.,%lu HTTP stato della risposta,
inches,pollici,
Invalid Email Address,Indirizzo Email non valido,
Large,Grande,
Last Name,Cognome,
Invalid Phone Number,Numero di telefono non valido,
Let's pick\nan image!,Scegliamo\n un\immagine!,
Line 1,Riga 2,
Line 2,Riga 3,
Log In,Login,
Login,Accesso,
Log out,Logout,
Maximum Photos Reached,Raggiunto il numero massimo di foto,
Medium,Medio,
Move Pages,Sposta pagine,
Missing Delivery Address,Indirizzo di consegna mancante,
MM/YY,MM/AA,
MORE ITEMS\nCOMING SOON!,Altri articoli \nProssimamente!,
New Payment,Nuovo pagamento,
Next,Successivo,
No,No,
No photos,Nessuna foto,
No Thanks,No Grazie,
"No, keep it","No, tienila",
"No, not yet","No, non ancora",
Not now,Non ora,
OK,OK,
Only registered %d/%d image URLs with the asset endpoint,Solo URL immagini %d/%d registrati con asset alla fine,
Oops!,Oops!,
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,Oops\nQUALCOSA È ANDATO STORTO\nSI PREGA DI RIPROVARE,
Order History,Cronologia ordini,
Order Id,Id Ordine,
Or print on a product below ▼,"Oppure stampa su di un prodotto qui sotto ▼",
Order Summary,Riepilogo Ordine,
Our store is currently undergoing maintenance so no products are available for purchase at this time. Please try again a little later.,"Il nostro store è attualmente in fase di manutenzione, quindi nessun prodotto risulta disponibile per l'acquisto in questo momento. Per favore riprova più tardi.",
Pack of,Pacchetto di,
Pay %@,Paga %@,
Paying With,Paga con,
Payment,Pagamento,
Payment (TEST),Pagamento (PROVA),
Payment Method,Metodo di pagamento,
Phone,Telefono,
Please add %d more.,Per favore aggiungi più %d,
Please add at least one photo,Aggiungi almeno una foto,
Please add some photos to your photo book,Aggiungi delle foto al tuo album,
Please choose an address to have your order shipped to,Scegli un indirizzo a cui consegnare il tuo ordine,
Please enter a card expiry date in the future,Inserisci una data di scadenza della carta ,
Please enter a valid card number,Inserisci un numero di carta valido,
Please enter a valid email address,Inserisci un indirizzo email valido,
Please enter a valid phone number,Inserisci un numero di telefono valido,
Please fill in Line 1 of the address.,Compila la Riga 1 dell'indirizzo,
Please enter your first and last name.,Inserisci il tuo nome ed il tuo cognome,
Please fill in your city.,Si prega di compilare nella tua città.,
Please fill in your postal code.,Inserisci il tuo CAP,
Please scan the QR code using a QR reader app on your device.,Scansiona il QR code tramite una app per la lettura dei QR code sul tuo dispositivo,
Please select %d images.,Seleziona %d immagini,
Please select %ld photos,Seleziona %ld foto,
Please select at least %d images.,Seleziona almeno %d immagini,
Please select no more than %d images.,Non selezionare più di %d immagini,
Please select only %ld photo,Seleziona solo %ld foto,
Please select some images.,Seleziona delle immagini.,
Please select up to %ld photos,Seleziona fino a %ld foto,
Please zoom out or pick a higher quality image,Zoomma oppure scegli un\immagine di qualità migliore,
Powered by Kite.ly,Realizzato da Kite.ly,
Postcode,Codice postale,
Price,Prezzo,
PRINT AT HOME,STAMPA A CASA,
Print order submission failed with a %lu HTTP response status code. Please try again.,Tentativo di stampa per invio ordine fallito con un codice HTTP di stato risposta %lu. Riprova.,
Print It Anyway,Stampa ovunque,
Print Shop,Print shop,
Print these,Stampa queste,
Processing,Processazione,
PRODUCT OPTIONS,OPZIONI PRODOTTO,
Promotional Discount,Sconto Promozionale,
Promo Code,Codice Promo,
Receipt,Ricevuta,
Quantity,Quantità,
Recents,Recenti,
Remove,Elimina,
Remove?,Eliminare?,
Required by the postal service in case there are any issues during delivery.,Richiesto dal servizio di spedizione in caso di problemi durante la consegna.,
Retry,Riprova,
Review,Scrivi una recensione,
Scan QR Code,Scansiona QR code,
Rotate,Ruota,
Save,Salva,
"Search by postcode, street or address","Cerca per codice postale, strada o indirizzo",
"Search by street, address or ZIP code","Cerca per CAP, strada o indirizzo",
Shipping,Spedizione,
Search for Address,Ricerca indirizzo,
Select Size,Seleziona le dimensioni,
Single Photo Poster,Poster singolo,
Size,Dimensioni,
Start by tapping this button,Inizia toccando questo pulsante,
Small,Piccolo,
Start Creating,Inizia la composizione,
State,Stato,
Store Maintenance,Manutenzione store,
Swipe to rotate your mug,Scorri per ruotare ,
Tap image to change,Tocca l\immagine per cambiare,
Tap image to edit,Tocca l\immagine per modificare,
Tap on this button,Tocca questo pulsante,
Tap to edit,Tocca per modificare,
Tap to swap pages. Hold for more options.,Tocca per cambiare pagine. Mantieni premuto per ulteriori opzioni.,
Text Colour,Colore del testo,
TEXT TOOLS,STRUMENTI DI TESTO,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,C'è stato un problema nell'ottenere i prodotti Print Shop. Verifica la tua connessione a internet o riprova più tardi.,
There was an error getting one of your photos. Please remove or replace it.,Si è verificato un errore con una delle tue foto. Per favore rimuovila o sostituiscila.,
There was an error trying to validate the card. Please try again later.,Si è verificato un errore nel tentativo di verificare la tua carta. Riprova più tardi,
This will discard your edits.,Così facendo le modifiche saranno annullate.,
This is the 3-4 digit verification number/security code normally found on the back of your card,È il codice di verifica/codice di sicurezza di 3-4 cifre che si trova in genere sul retro della carta.,
Total,Totale,
Uploading book,Caricamento album,
Uploading Images \n%lu / %lu,Caricamento delle immagini \n%lu /%lu,
View Item,Vedi l'oggetto,
WE HAVE RECEIVED\nYOUR ORDER,ABBIAMO RICEVUTO\nIL TUO ORDINE,
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,Ti invieremo la conferma e gli aggiornamenti dell'ordine. Togli la spunta a questa casella se non vuoi ricevere informative via email.,
We'll send you confirmation and order updates.,Ti invieremo la conferma e gli aggiornamenti dell'ordine,
Yes,Si,
Yes Please,Si grazie,
"Yes, proceed","Si, procedi",
"Yes, remove it","Si, rimuovi",
You can add %d more for the same price.,Puoi aggiungere %d in più per lo stesso prezzo,
You can add more photos,Puoi aggiungere più foto,
You need to authorize the app to access your Instagram account if you want to import photos from there.,Devi autorizzare l'app ad accedere al tuo account Instagram se vuoi importarne le foto.,
You've only selected %d photos.,Hai selezionato solo %d foto,
You've only selected %d photo.,Hai selezionato solo %d foto,
You've selected %d photos.,Hai selezionato %d foto,
Your 15-16 digit card number,Il numero della tua carta di 15-16 cifre,
Your payment was not approved (transaction state: %@). Please try again.,Il tuo pagamento non è stato approvato (stato della transazione: %@). Riprova.,
Your card expiry date,La data di scadenza della carta,
ZIP Code,Codice postale,
Your Phone,Il tuo numero di telefono.,
