ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Záruka kvality**\nNaše produkty jsou vyrobeny v té nejvyšší kvalitě. Proto jsme si jistí, že si je zamilujete. Pokud ne, nabízíme bezproblémovou garanci vrácení peněz. Užijte si to!"
Enter Address Manually,Zadejte adresu ručně
Enter a valid CVV number,Zadejte platné číslo CVV
Enter a valid card number,Zadejte platné číslo karty
Enter a valid expiry date,Zadejte platné datum konce platnosti
Error validating the order. Please try again later.,Chyba při ověřování objednávky. Zkuste to znovu později.
FREE,ZDARMA
FRONT,PŘEDNÍ STRANA
Failed to download phone case mask. Please check your internet connectivity and try again,Nepodařilo se stáhnout masku krytu na telefon. Zkontrolujte připojení k internetu a zkuste to znovu
Failed to get the price of the order. Please try again.,Nepodařilo se zjistit cenu objednávky. Zkuste to prosím znovu.
Failed to get upload URL. Try again later.,Nepodařilo se nahrát adresu URL. Zkuste to znovu později.
Failed to log in to Instagram. Please check your internet connectivity and try again,Připojení ke službě Instagram se nezdařilo. Zkontrolujte připojení k internetu a zkuste to znovu
Failed to store card details with PayPal. Please try again.,Nepodařilo se uložit údaje o kartě do účtu PayPal. Zkuste to prosím znovu.
Failed to synchronize product templates. Please try again.,Nepodařilo se synchronizovat šablony produktu. Zkuste to prosím znovu.
Failed to validate the order. Please try again.,Nepodařilo se ověřit objednávku. Zkuste to prosím znovu.
Filters,Filtry
First Name,Jméno
Flip,Překlopit
Fonts,Písma
For only %@ extra,Pouze za dalších %@
From,Od
Great gifts for all the family,Skvělé dárky pro celou rodinu
IMAGE TOOLS,NÁSTROJE SNÍMKU
Image Is Too Small,Snímek je příliš malý
Image upload failed with a %lu HTTP response status code. Please try again.,Nahrávání snímku se nezdařilo se stavovým kódem odpovědi %lu HTTP. Zkuste to prosím znovu.
Invalid Email Address,Neplatná e-mailová adresa
Invalid Phone Number,Neplatné telefonní číslo
Large,Velký
Last Name,Příjmení
Let's pick\nan image!,Nyní vyberte\nsnímek!
Line 1,Řádek 1
Line 2,Řádek 2
Log In,Přihlášení
Log out,Odhlášení
Login,Přihlášení
MM/YY,MM/RR
MORE ITEMS\nCOMING SOON!,DALŠÍ POLOŽKY\nJIŽ BRZY!
Maximum Photos Reached,Bylo dosaženo maximálního počtu fotografií
Medium,Průměrné
Missing Delivery Address,Chybějící dodací adresa
Move Pages,Přesunout stránky
New Payment,Nová platba
Next,Další
No Thanks,"Ne, děkuji"
No,Ne
Not now,Nyní ne
OK,OK
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,JEJDA\nNĚCO SE POKAZILO\n ZKUSTE TO NÍŽE ZNOVU
Only registered %d/%d image URLs with the asset endpoint,Pouze registrované %d/%d adresy URL snímku s určeným koncovým bodem
Oops!,Jejda!
Or print on a product below ▼,nebo níže tiskněte na produkt▼
Order History,Historie objednávek
Order Id,ID objednávky
Order Summary,Přehled objednávky
Our store is currently undergoing maintenance so no products are available for purchase at this time. Please try again a little later.,"Na našem obchodě právě probíhá údržba, proto aktuálně není možné zakoupit žádné produkty. Zkuste to znovu později."
PRINT AT HOME,VYTISKNOUT DOMA
PRODUCT OPTIONS,MOŽNOSTI PRODUKTU
Pack of,Balení
Pay %@,Zaplatit %@
Paying With,Platba pomocí
Payment (TEST),Platba (TEST)
Payment Method,Platební metoda
Payment,Platba
Phone,Telefon
Photo Library,Knihovna fotografií
Please add %d more.,Přidejte %d dalších.
Please add some photos to your photo book,Přidejte další fotografie do fotoknihy
Please add some photos,Přidejte další fotografie
Please choose an address to have your order shipped to,Vyberte adresu pro doručení objednávky
Please enter a card expiry date in the future,Zadejte datum konce platnosti karty v budoucnosti
Please enter a valid card number,Zadejte platné číslo karty
Please enter a valid email address,Zadejte platnou e-mailovou adresu
Please enter a valid phone number,Zadejte platné telefonní číslo
Please enter your first and last name.,Zadejte své jméno a příjmení.
Please fill in Line 1 of the address.,Vyplňte řádek 1 adresy.
Please fill in your city.,Vyplňte město.
Please fill in your postal code.,Vyplňte PSČ.
Please scan the QR code using a QR reader app on your device.,Pomocí aplikace QR reader na vašem zařízení naskenujte kód QR.
Please select %d images.,Vyberte %d snímků.
Please select %ld photos,Vyberte %ld fotografií
Please select at least %d images.,Vyberte alespoň %d snímků.
Please select no more than %d images.,Vyberte maximálně %d snímků.
Please select only %ld photo,Vyberte pouze %ld fotografií
Please select some images.,Vyberte nějaké snímky.
Please select up to %ld photos,Vyberte až %ld fotografií
Please zoom out or pick a higher quality image,Snímek oddalte nebo vyberte jiný ve vyšší kvalitě
Postcode,PSČ
Powered by Kite.ly,Zajištěno společností Kite.ly
Price,Cena
Print It Anyway,I tak vytisknout
Print Shop,Print Shop
Print order submission failed with a %lu HTTP response status code. Please try again.,Odeslání objednávky tisku se nezdařilo se stavovým kódem odpovědi %lu HTTP. Zkuste to prosím znovu.
Print these,Vytisknout vybrané
Privacy Policy,Zásady ochrany osobních údajů,
Processing,Zpracování
Promo Code,Promo kód
Promotional Discount,Propagační sleva
Quantity,Množství
Receipt,Příjem
Recents,Nejnovější
Remove?,Odebrat?
Required by the postal service in case there are any issues during delivery.,"Vyžadováno poštovní službou, aby bylo možné předejít problémů při doručování."
Retry,Zkusit znovu
Review,Kontrola
Rotate,Otočit
Save as Copy,Uložit jako
Save,Uložit
Scan QR Code,Naskenovat kód QR
Select Size,Vybrat velikost
Shipping Method,Způsob dopravy
Shipping,Doprava
Single Photo Poster,Plakát s jednou fotografií
Size,Velikost
Small,Malý
Start Creating,Začněte tvořit
Start by tapping this button,Začněte klepnutím na toto tlačítko
Store Maintenance,Uložit úpravy
Swipe to rotate your mug,Potažením otočíte hrnek
TEXT TOOLS,NÁSTROJE TEXTU
Tap image to change or hold to move,Klepněte na snímek pro změnu nebo podržte pro přesunutí
Tap image to change,Klepnutím na snímek jej změníte
Tap image to edit or hold to move,Klepněte na snímek pro úpravu nebo podržte pro přesunutí
Tap image to edit,Klepnutím na snímek jej upravíte
Tap on this button,Klepněte na toto tlačítko
Text Colour,Barva textu
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Při zobrazování produktů aplikace Print Shop došlo k problému. Zkontrolujte připojení k internetu nebo to zkuste znovu později.
There was an error getting one of your photos. Please remove or replace it.,Při zobrazování jedné z fotografií došlo k chybě. Odstraňte ji nebo vyměňte.
There was an error trying to validate the card. Please try again later.,Při ověřování karty došlo k chybě. Zkuste to znovu později.
This is the 3-4 digit verification number/security code normally found on the back of your card,Jedná se o 3–4místné ověřovací číslo nebo bezpečnostní kód. Běžně se nachází na zadní straně karty.
This will discard your edits.,Tímto zahodíte úpravy.
Total,Celkem
Tracked,Zaznamenáno
Uploading Images \n%lu / %lu,Nahrávání snímků \n%lu / %lu
Uploading book,Nahrávání knihy
View Item,Zobrazit položku
WE HAVE RECEIVED\nYOUR ORDER,OBDRŽELI JSME\nVAŠI OBJEDNÁVKU
We need access to your %@ photos,Potřebujeme přístup k vašim %@ fotografiím
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,Zašleme vám potvrzení a nové informace o objednávce. Zrušením zaškrtnutí tohoto pole se odhlásíte z e-mailových kampaní.
We'll send you confirmation and order updates.,Zašleme vám potvrzení a nové informace o objednávce.
Yes Please,Ano
Yes,Ano
You can add %d more for the same price.,Za stejnou cenu můžete přidat %d dalších.
You need to authorize the app to access your Instagram account if you want to import photos from there.,"Pokud chcete importovat fotografie ze služby Instagram, je třeba aplikaci autorizovat, abyste získali přístup ke svému účtu."
You've only selected %d photo.,Vybrali jste pouze %d fotografii.
You've only selected %d photos.,Vybrali jste pouze %d fotografií.
You've selected %d photos.,Vybrali jste %d fotografií.
Your 15-16 digit card number,15–16místné číslo vaší karty
Your Phone,Váš telefon
Your card expiry date,Datum konce platnosti vaší karty
Your payment was not approved (transaction state: %@). Please try again.,Vaše platba nebyla schválena (stav transakce: %@). Zkuste to prosím znovu.
ZIP Code,ZIP
basket.Edit,Upravit
cm,cm
inches,palce
