ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Basket is empty,A kosár tartalma üres,
CVV,CVV,
Cancel,Mégse,
Card Number,Kártya száma,
Checking Code,Promóciós kód ellenőrzése,
Checkout for Free!,Ingyenes kifizetés!,
Checkout,Fizetés,
Choose Address,Cím kiválasztása,
Choose Country,Ország kiválasztása,
Choose Delivery Address,Szállítási cím kiválasztása,
Choose Photo,Fénykép kiválasztása,
Choose Photos,Fényképek kiválasztása,
City,Település,
Clearing Code,Promóciós kód törlése,
Completed Orders,Teljesített rendelések,
Continue Shopping,Vásárlás folytatása,
County,Megye,
Create Image,Kép létrehozása,
Create a %@ for\nonly %@ %@,%@ készítése\n%@ helyett mindössze ennyiért: %@,
Create a pack for\nonly %@ %@,Csomag készítése\n%@ helyett mindössze ennyiért: %@,
Create another %@ for\nonly %@ %@,Még egy %@ készítése\n%@ helyett mindössze ennyiért: %@,
Create another pack for\nonly %@ %@,Még egy csomag készítése\n%@ helyett mindössze ennyiért: %@,
Crop,Kivágás,
Default,Alapértelmezett,
Delete Item,Tétel törlése,
Delivery Details,Szállítási adatok,
Description,Termékleírás,
Details,Részletek,
Discard Edits,Szerkesztések elvetése,
Do you want to log out of %@?,Szeretnél kijelentkezni a következőből: %@?,
Do you want to remove this photo?,Szeretnéd eltávolítani ezt a fényképet?,
Done,Kész,
Edit Address,Cím szerkesztése,
Edit,Szerkesztés,
Email,E-mail,
End Session,Munkamenet befejezése,
Enter Address Manually,Kézzel add meg a címet,
Enter a valid CVV number,Érvényes CVV-számot adj meg,
Enter a valid card number,Adj meg egy érvényes kártyaszámot.,
Enter a valid expiry date,Érvényes lejárati dátumot adj meg,
Error validating the order. Please try again later.,Hiba lépett fel a rendelés ellenőrzése során. Próbáld újra később.,
FREE,INGYEN,
FRONT,ELÜLSŐ,
Failed to download phone case mask. Please check your internet connectivity and try again,"Sikertelen volt a telefontok maszkjának letöltése. Ellenőrizd az internetkapcsolatot, majd próbáld újra.",
Failed to get the price of the order. Please try again.,A rendelés árának elérése sikertelen. Próbáld meg újra.,
Failed to get upload URL. Try again later.,Sikertelen volt az URL-cím betöltése. Próbáld újra később.,
Failed to log in to Instagram. Please check your internet connectivity and try again,"Sikertelen volt a bejelentkezés az Instagramra. Ellenőrizd az internetkapcsolatot, majd próbáld újra.",
Failed to store card details with PayPal. Please try again.,A kártyaadatok PayPalos tárolása sikertelen. Próbáld meg újra.,
Failed to synchronize product templates. Please try again.,A terméksablonok szinkronizálása sikertelen. Próbáld meg újra.,
Failed to validate the order. Please try again.,A rendelés érvényesítése sikertelen. Próbáld meg újra.,
Filters,Szűrők,
First Name,Keresztnév,
Flip,Tükrözés,
Fonts,Betűtípusok,
For only %@ extra,Mindössze ennyivel többért: %@,
From,Már ennyiért:,
Great gifts for all the family,Nagyszerű ajándékok az egész család számára,
IMAGE TOOLS,KÉPESZKÖZÖK,
Image Is Too Small,A kép mérete túl kicsi,
Image upload failed with a %lu HTTP response status code. Please try again.,Képfelöltés sikertelen. HTTP-válasz állapotkódja: %lu. Próbáld újra.,
Invalid Email Address,Érvénytelen e-mail cím,
Invalid Phone Number,Érvénytelen telefonszám,
Large,Nagy,
Last Name,Vezetéknév,
Let's pick\nan image!,Válassz egy\nképet!,
Line 1,1. sor,
Line 2,2. sor,
Log In,Bejelentkezés,
Log out,Kijelentkezés,
Login,Bejelentkezés,
MM/YY,HH/ÉÉ,
MORE ITEMS\nCOMING SOON!,MÉG TÖBB TERMÉK\nHAMAROSAN!,
Maximum Photos Reached,Elérte a fényképek maximális számát,
Medium,Közepes,
Missing Delivery Address,Hiányzó szállítási cím,
Move Pages,Oldalak áthelyezése,
New Payment,Új fizetés,
Next,Tovább,
No Thanks,"Köszönöm, nem",
No,Nem,
Not now,Most nem,
OK,OK,
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,"HOPPÁ!\nVALAMI HIBA TÖRTÉNT,\nPRÓBÁLD ÚJRA LENTEBB.",
Only registered %d/%d image URLs with the asset endpoint,Csak regisztrált %d/%d kép URL-címei és a tartalom végpontja,
Oops!,Hoppá!,
Or print on a product below ▼,Vagy nyomtass az alábbi termékek valamelyikére ▼,
Order History,Rendeléstörténet,
Order Id,Rendelési azonosító,
Order Summary,Rendelési összesítő,
Our store is currently undergoing maintenance so no products are available for purchase at this time. Please try again a little later.,"Üzletünk jelenleg karbantartás alatt áll, ezért nincs lehetőség termékek vásárlására. Próbálkozz újból egy kicsit később.",
PRINT AT HOME,NYOMTATÁS OTTHON,
PRODUCT OPTIONS,TERMÉKBEÁLLÍTÁSOK,
Pack of,Csomag tartalma:,
Pay %@,%@ fizetése,
Paying With,Fizetés a következővel:,
Payment (TEST),Fizetés (TESZT),
Payment Method,Fizetési mód,
Payment,Fizetés,
Phone,Telefon,
Photo Library,Fényképkönyvtár,
Please add %d more.,Kérlek adj hozzá még %d darabot.,
Please add some photos to your photo book,Adj hozzá néhány fényképet a fotóalbumhoz,
Please add some photos,Kérlek adj hozzá még néhány fényképet.,
Please choose an address to have your order shipped to,"Válaszd ki azt a címet, ahová a rendelésedet kiszállíthatjuk",
Please enter a card expiry date in the future,A kártya lejárati idejének egy későbbi dátumot adj meg,
Please enter a valid card number,Érvényes kártyaszámot adj meg,
Please enter a valid email address,Érvényes e-mail címet adj meg,
Please enter a valid phone number,Érvényes telefonszámot adj meg,
Please enter your first and last name.,Kérlek add meg a vezeték- és keresztneved.,
Please fill in Line 1 of the address.,Töltsd ki a cím 1. sorát.,
Please fill in your city.,Add meg a várost.,
Please fill in your postal code.,Add meg az irányítószámot.,
Please scan the QR code using a QR reader app on your device.,Az eszközödön található QR-kód olvasó alkalmazás segítségével olvasd be a QR-kódot.,
Please select %d images.,Kérlek válassz ki %d képet.,
Please select %ld photos,Kérlek válassz ki %d fényképet.,
Please select at least %d images.,Kérlek válassz ki legalább %d képet.,
Please select no more than %d images.,Kérlek legfeljebb %d képet válassz ki.,
Please select only %ld photo,Kérlek csak %ld fényképet válassz ki.,
Please select some images.,Kérlek válassz ki néhány képet.,
Please select up to %ld photos,Kérlek legfeljebb %ld fényképet válassz ki.,
Please zoom out or pick a higher quality image,"Lépj ki a nagyításból, vagy válassz jobb minőségű képet",
Postcode,Irányítószám,
Price,Ár,
Print It Anyway,Nyomtatás mégis,
Print Shop,Nyomatbolt,
Print order submission failed with a %lu HTTP response status code. Please try again.,A nyomtatási rendelés elküldése sikertelen %lu HTTP-válasz státuszkóddal. Próbáld meg újra.,
Print these,Ezek kinyomtatása,
Privacy Policy,Adatvédelmi szabályzat,
Processing,Feldolgozás,
Promo Code,Promóciós kód,
Promotional Discount,Promóciós kedvezmény,
Quantity,Mennyiség,
Receipt,Nyugta,
Recents,Legutóbbi elemek,
Remove?,Eltávolítod?,
Required by the postal service in case there are any issues during delivery.,"A postaszolgálat számára, ha a kiszállítás során probléma merülne fel.",
Retry,Újrapróbálkozás,
Review,Áttekintés,
Rotate,Forgatás,
Save as Copy,Mentés másolatként,
Save,Mentés,
Scan QR Code,QR-kód beolvasása,
Select Size,Méret kiválasztása,
Shipping Method,Szállítási mód,
Shipping,Szállítás,
Single Photo Poster,Egyfotós poszter,
Size,Méret,
Small,Kis méret,
Start Creating,Kezdj alkotni,
Start by tapping this button,Az indításhoz koppints erre a gombra.,
Store Maintenance,Áruházi karbantartás,
Swipe to rotate your mug,Húzással forgathatod a bögrét.,
TEXT TOOLS,SZÖVEGESZKÖZÖK,
Tap image to change or hold to move,A módosításhoz koppints a képre vagy a mozgatásához tartsd lenyomva,
Tap image to change,A módosításhoz koppints a képre.,
Tap image to edit or hold to move,A szerkesztéshez koppints a képre vagy a mozgatásához tartsd lenyomva,
Tap image to edit,A szerkesztéshez koppints a képre.,
Tap on this button,Koppints erre a gombra.,
Text Colour,Szövegszín,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Hiba történt az üzlet termékeinek betöltése során. Ellenőrizd az internetkapcsolatot vagy próbáld újra később.,
There was an error getting one of your photos. Please remove or replace it.,Hiba történt az egyik fénykép betöltése során. Távolítsd el vagy cseréld le,
There was an error trying to validate the card. Please try again later.,Hiba történt a kártya ellenőrzése során. Próbáld újra később.,
This is the 3-4 digit verification number/security code normally found on the back of your card,"Ez az általában a kártya hátoldalán található, 3–4 jegyű hitelesítési szám/biztonsági kód",
This will discard your edits.,Ezzel elveted az eddigi módosításokat.,
Total,Összes,
Tracked,Követett,
Uploading Images \n%lu / %lu,\n%lu/%lu kép feltöltése,
Uploading book,Könyv feltöltése,
View Item,Tétel megtekintése,
WE HAVE RECEIVED\nYOUR ORDER,RENDELÉSED\nMEGKAPTUK,
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,Elküldjük majd a megerősítést és a rendelés frissítéseit. Az e-mailes marketinganyagok küldését a jelölőnégyzet bepipálásának törlésével tilthatod le.,
We'll send you confirmation and order updates.,Elküldjük majd a megerősítést és a rendelés frissítéseit.,
Yes Please,"Igen, kérem",
Yes,Igen,
You can add %d more for the same price.,%d további hozzáadása lehetséges ezen az áron.,
You need to authorize the app to access your Instagram account if you want to import photos from there.,"Ha Instagram-fiókodból szeretnél fényképeket importálni, engedélyezned kell az alkalmazásnak a fiókhoz való hozzáférést.",
You've only selected %d photo.,Csak %d fényképet választottál ki.,
You've only selected %d photos.,Csak %d fényképet választottál ki.,
You've selected %d photos.,%d fényképet választottál ki.,
Your 15-16 digit card number,A kártya 15–16 jegyű száma,
Your Phone,A Te iPhone-od,
Your card expiry date,A kártya lejárati dátuma,
Your payment was not approved (transaction state: %@). Please try again.,A fizetés nem lett jóváhagyva (tranzakció státusza: %@). Próbáld meg újra.,
ZIP Code,Irányítószám,
basket.Edit,Szerkesztése,
cm,cm,
inches,hüvelyk,
We need access to your %@ photos, Hozzáférésre van szükségünk %@ fotó(i)dhoz,
