ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Rotate,Rotate,/* Rotate image by 90 degrees */
Save as Copy,Save as Copy,
Scan QR Code,Scan QR Code,
Select Size,Select Size,/* Example: Shirt size */
Shipping Method,Shipping Method,
Small,Small,
Start by tapping this button,Start by tapping this button,
Start Creating,Start Creating,/* Start Creating [your product] */
Swipe to rotate your mug,Swipe to rotate your mug,
Tap image to change,Tap image to change,
Tap image to change or hold to move,Tap image to change or hold to move,
Tap image to edit,Tap image to edit,
Tap image to edit or hold to move,Tap image to edit or hold to move,
Tap on this button,Tap on this button,
Text Colour,Text Colour,
TEXT TOOLS,TEXT TOOLS,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,
There was an error getting one of your photos. Please remove or replace it.,There was an error getting one of your photos. Please remove or replace it.,
There was an error trying to validate the card. Please try again later.,There was an error trying to validate the card. Please try again later.,
This will discard your edits.,This will discard your edits.,"/* The image edits, like crop, filters, etc */"
Uploading book,Uploading book,
View Item,View Item,/* View [basket] item */
WE HAVE RECEIVED\nYOUR ORDER,WE HAVE RECEIVED\nYOUR ORDER,
Yes,Yes,
Yes Please,Yes Please,
"Yes, remove it","Yes, remove it","/* Yes, remove [the photo] */"
You need to authorize the app to access your Instagram account if you want to import photos from there.,You need to authorize the app to access your Instagram account if you want to import photos from there.,
You've only selected %d photo.,You've only selected %d photo.,
You've only selected %d photos.,You've only selected %d photos.,
Your Phone,Your Phone,"/* Device, not number */"
