ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,OEPS\nER GING IETS MIS\n PROBEER OPNIEUW,
Or print on a product below â–¼,Of print op een product hier onder â–¼,
Order History,Bestelgeschiedenis,
Pack of,Pack met,
Photo Library,Fotobibliotheek,
Please add %d more.,Voeg s.v.p. meer %d toe.,
Please add some photos,Voeg s.v.p. een aantal foto's toe,
Please enter your first and last name.,Voer je voor- en achternaam in.,
Please fill in Line 1 of the address.,Vul Regel 1 van het adres in.,
Please fill in your city.,Vul je woonplaats in.,
Please fill in your postal code.,Vul je postcode in.,
Please scan the QR code using a QR reader app on your device.,Scan de QR-code met een QR reader-app op je apparaat.,
Please select %d images.,Selecteer s.v.p. %d afbeeldingen.,
Please select %ld photos,Selecteer s.v.p. %ld foto's,
Please select at least %d images.,Selecteer minimaal %d afbeeldingen.,
Please select no more than %d images.,Selecteer niet meer dan %d afbeeldingen.,
Please select only %ld photo,Selecteer slechts %ld foto,
Please select some images.,Selecteer een paar afbeeldingen.,
Please select up to %ld photos,Selecteer maximaal %ld foto's,
PRINT AT HOME,THUIS PRINTEN,
Print It Anyway,Overal printen,
Print Shop,Printshop,
Privacy Policy,Privacybeleid,
PRODUCT OPTIONS,PRODUCTOPTIES,
Promotional Discount,Actiekorting,
Receipt,Kassabon,
Recents,Recente activiteiten,
Remove?,Verwijderen?,
Rotate,Roteren,
Save as Copy,Opslaan als kopie,
Scan QR Code,Scan QR-code,
Select Size,Selecteer formaat,
Shipping Method,Verzendmethode,
Small,Klein,
Start by tapping this button,Begin door op deze knop te tikken,
Start Creating,Begin met creëren,
Swipe to rotate your mug,Veeg om je beker te draaien,
Tap image to change,Tik op afbeelding om te wijzigen,
Tap image to change or hold to move,Tik op afbeelding om te wijzigen of hou vast om te verplaatsen,
Tap image to edit,Tik op afbeelding om te bewerken,
Tap image to edit or hold to move,Tik op afbeelding om te bewerken of hou vast om te verplaatsen,
Tap on this button,Tik op deze knop,
Text Colour,Tekstkleur,
TEXT TOOLS,TEKSTTOOLS,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Er heeft zich een probleem voorgedaan met het laden van Print Shop producten. Controleer je internetverbinding of probeer het later opnieuw.,
There was an error getting one of your photos. Please remove or replace it.,Er heeft zich een fout voorgedaan bij het ophalen van een van je foto's. S.v.p. verwijderen of vervangen.,
There was an error trying to validate the card. Please try again later.,Er heeft zich een fout voorgedaan bij het controleren van de kaart. Probeer het later opnieuw.,
This will discard your edits.,Dit maakt je bewerkingen ongedaan.,
"This will log out of any accounts, clear selected photos and start over","Dit leidt tot afmelden bij accounts, wissen van geselecteerde foto's en opnieuw beginnen",
Tracked,Gevolgd,
Uploading book,Boek uploaden,
View Item,Item weergeven,
WE HAVE RECEIVED\nYOUR ORDER,WIJ HEBBEN JE\nBESTELLING ONTVANGEN,
Yes,Ja,
Yes Please,"Ja, graag",
"Yes, remove it","Ja, verwijderen",
You need to authorize the app to access your Instagram account if you want to import photos from there.,Je dient deze app toestemming te geven voor toegang tot je Instagram-account wanneer je daarvandaan foto's wilt importeren.,
You've only selected %d photo.,Je hebt slechts %d foto geselecteerd.,
You've only selected %d photos.,Je hebt slechts %d foto's geselecteerd.,
Your Phone,Je telefoon,
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Kwaliteitsgarantie**\nOnze producten zijn van de hoogste kwaliteit en we zijn ervan overtuigd dat je ervan zal genieten. Als dat niet het geval is, bieden wij een garantieregeling aan. Genieten!",
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,401 Onbevoegd verzoek Fout tijdens het uploaden van een onderdeel. Controleer of u een kopregel Autorisatie heeft bijgevoegd en of de bijgeleverde auth gegevens juist zijn.,
500 Internal Server Error whilst trying to upload an asset. Please try again.,500 Internal Server Error tijdens het uploaden van een onderdeel. Probeer het alstublieft nog eens.,
Add,Toevoegen,
Add Address,Adres toevoegen,
Add Credit/Debit Card,Krediet/biljet toevoegen,
Add more,Meer toevoegen,/* Add more [photos] */
Add New Address,Nieuw adres toevoegen,
Add Payment Method,Betaalmethode toevoegen,
Add to Basket,Toevoegen aan mandje,
Address Book,Adresboek,
Back,Terug,
Basket is empty,Winkelwagentje is leeg,
basket.Edit,mandje bewerken,/* Edit basket item */
Cancel,Annuleren,
Card Number,Kaartnummer,
Checking Code,Controle code,/* Checking promo code */
Checkout for Free!,Afrekenen gratis!,
Choose Address,Adres kiezen,
Choose Country,Land kiezen,
Choose Delivery Address,Bezorgadres kiezen,
Choose Photos,Foto's kiezen,
City,Stad,
Clearing Code,Clearing Code,/* Clearing promo code */
Continue Shopping,Verder winkelen,
County,Provincie,
Delivery Details,Levering Details,
Details,Details,/* Product Details */
Done,Klaar,
Edit,Bewerken,/* Edit image */
Edit Address,Adres bewerken,
Email,E-mail,
Enter a valid CVV number,Voer een geldig CVV-nummer in,/* The credit card security number */
Enter a valid expiry date,Voer een geldige vervaldatum in,/* For credit cards */
Enter Address Manually,Adres handmatig invoeren,
Failed to get the price of the order. Please try again.,Prijs van de bestelling niet ontvangen. Probeer het alsjeblieft nog eens.,
Failed to store card details with PayPal. Please try again.,De kaartgegevens zijn niet opgeslagen bij PayPal. Probeer het alsjeblieft nog eens.,
Failed to synchronize product templates. Please try again.,Het is niet gelukt om productsjablonen te synchroniseren. Probeer het alsjeblieft nog eens.,
Failed to validate the order. Please try again.,De bestelling is niet gevalideerd. Probeer het alsjeblieft nog eens.,
First Name,Voornaam,
Image Is Too Small,Beeld is te klein,
Invalid Email Address,Ongeldig E-mailadres,
Invalid Phone Number,Ongeldig telefoonnummer,
Last Name,Achternaam,
Line 1,Regel 1,
Line 2,Regel 2,
Missing Delivery Address,Ontbrekend afleveradres,
Move Pages,Verplaats Pagina's,/* Title of a screen that allows the user to move the pages of a book around */
New Payment,Nieuwe betaling,
Next,Volgende,
OK,OK,/* Acknowledgent to an alert dialog. */
Only registered %d/%d image URLs with the asset endpoint,Alleen geregistreerde %d/%d beeld-URL's met het asset-eindpunt,
Oops!,Oops!,
Or print on a product below ▼,Of print op een product hieronder ▼,
Order Id,Bestel Id,
Order Summary,Bestellingsoverzicht,
Our store is currently undergoing maintenance so no products are available for purchase at this time. Please try again a little later.,"Onze winkel is momenteel in onderhoud, zodat er op dit moment geen producten beschikbaar zijn voor aankoop. Probeer het even later nog eens.",
Pay %@,Betaling %@,/* Pay [$10.00] */
Paying With,Betalen met,/* Paying with [PayPal/Credit Card] */
Payment,Betaling,
Payment (TEST),Betaling (TEST),
Payment Method,Betalingsmiddel,
Phone,Telefoon,
Please add some photos to your photo book,Voeg enkele foto's toe aan uw fotoboek,
Please choose an address to have your order shipped to,Kies een adres om uw bestelling te verzenden naar,
Please enter a card expiry date in the future,Voer de vervaldatum van de kaart in,/* For credit cards */
Please enter a valid card number,Voer een geldig kaartnummer in,
Please enter a valid email address,Voer een geldig e-mailadres in,
Please enter a valid phone number,Voer een geldig telefoonnummer in,
Please zoom out or pick a higher quality image,Zoom uit of kies een afbeelding van hogere kwaliteit,
Postcode,Postcode,
Price,Prijs,
Print order submission failed with a %lu HTTP response status code. Please try again.,Afdrukbestelling mislukt met een %lu HTTP response statuscode. Probeer het alstublieft nog eens.,
Print these,Deze afdrukken,
Processing,Verwerking,/* Processing the order */
Promo Code,Promotiecode,
Quantity,Hoeveelheid,/* Quantity of photos */
Required by the postal service in case there are any issues during delivery.,Vereist door de postdienst in geval van problemen tijdens de bezorging.,
Retry,Opnieuw proberen,
Review,Beoordelen,/* Title of a screen where the user can review the product before ordering */
Save,Opslaan,
Shipping,Verzending,
Single Photo Poster,Eén foto Poster,
Size,Grootte,/* Physical size of the product */
Store Maintenance,Winkelonderhoud,
This is the 3-4 digit verification number/security code normally found on the back of your card,Dit is het 3-4-cijferige controlegetal/beveiligingscode dat normaal op de achterkant van uw kaart staat.,
Total,Totaal,
Uploading Images \n%lu / %lu,"Beelden uploaden \n%lu / %lulux",
We'll send you confirmation and order updates.,Wij sturen u een bevestiging en updates van je bestelling.,
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,Wij sturen je een bevestiging en updates van uw bestelling. Schakel dit vakje uit om je af te melden voor e-mailcampagnes.,
We need access to your %@ photos,We hebben toegang tot je %@ foto's nodig,/* Example: We need access to your iPhone photos */
You can add %d more for the same price.,U kunt %d meer toevoegen voor dezelfde prijs.,
You've selected %d photos.,U hebt %d foto's geselecteerd.,
Your 15-16 digit card number,Uw 15-16-cijferig kaartnummer,
Your card expiry date,Vervaldatum van de kaart,
Your payment was not approved (transaction state: %@). Please try again.,Uw betaling werd niet goedgekeurd (transactie staat: %@). Probeer het alstublieft nog eens.,
ZIP Code,ZIP-code,
