ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ days,%@ dni/dní
%ldx%ld Collage,Koláž %ldx%ld
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Záruka kvality**\nNaše produkty sa vyznačujú najvyššou kvalitou a sme si istí, že si tie svoje zamilujete. V opačnom prípade vám bez namietania vrátime peniaze. Užite si ich!"
1 day,1 deň
Create a pack for\nonly %@ %@,Vytvoriť balík iba\nza %@ %@
Create another %@ for\nonly %@ %@,Vytvoriť ďalší %@ iba\nza %@ %@
Create another pack for\nonly %@ %@,Vytvoriť ďalší balík iba\nza %@ %@
Create Image,Vytvoriť obrázok
Crop,Orezať
CVV,CVV
Default,Predvolené
Delete Item,Odstrániť položku
Delivery Details,Podrobnosti o doručení
Description,Popis
Details,Podrobnosti
Discard Edits,Zahodiť úpravy
Do you want to log out of %@?,Chcete sa odhlásiť z %@?
Do you want to remove this photo?,Chcete odstrániť túto fotografiu?
Done,Hotovo
Edit,Upraviť
Edit Address,Upraviť adresu
Email,E-mailová adresa
End Session,Ukončiť reláciu
Enter a valid card number,Zadajte platné číslo karty
Enter a valid CVV number,Zadajte platné číslo CVV
Enter a valid expiry date,Zadajte platný dátum vypršania platnosti
Enter Address Manually,Manuálne zadajte adresu
Error validating the order. Please try again later.,Pri overovaní objednávky sa vyskytla chyba. Skúste to znova neskôr.
Failed to download phone case mask. Please check your internet connectivity and try again,Nepodarilo sa prevziať masku puzdra telefónu. Skontrolujte internetové pripojenie a skúste znova
Failed to get the price of the order. Please try again.,Nepodarilo sa získať cenu objednávky. Skúste to znova.
Failed to get upload URL. Try again later.,Nepodarilo sa získať webovú adresu na odovzdanie. Skúste znova neskôr.
Failed to log in to Instagram. Please check your internet connectivity and try again,Nepodarilo sa prihlásiť na Instagram. Skontrolujte internetové pripojenie a skúste znova
Failed to store card details with PayPal. Please try again.,Nepodarilo sa uložiť údaje o karte so službou PayPal. Skúste to znova.
Failed to synchronize product templates. Please try again.,Nepodarilo sa synchronizovať vzory produktov. Skúste to znova.
"Failed to validate card details, please try again.",Nepodarilo sa overiť údaje o karte.
Failed to validate the order. Please try again.,Nepodarilo sa overiť objednávku. Skúste to znova.
Filters,Filtre
First Name,Meno
Flip,Prevrátiť
Fonts,Písma
For only %@ extra,Doplatíte iba %@
FREE,ZDARMA
From,Od
FRONT,PREDNÁ STRANA
Great gifts for all the family,Vynikajúce darčeky pre celú rodinu
Image Is Too Small,Obrázok je príliš malý
IMAGE TOOLS,NÁSTROJE OBRÁZKOV
Image upload failed with a %lu HTTP response status code. Please try again.,Kód pre stav odozvy protokolu HTTP %lu oznamuje neúspešné nahratie obrázka. Skúste to znova.
inches,palce
Invalid Email Address,Neplatná e-mailová adresa
Invalid Phone Number,Neplatné telefónne číslo
Large,Veľký
Last Name,Priezvisko
Let's pick\nan image!,Vyberte\nobrázok!
Line 1,1. riadok
Line 2,2. riadok
Log In,Prihlásiť sa
Log out,Odhlásiť sa
Login,Prihlásenie
Maximum Photos Reached,Dosiahli ste maximálny počet fotografií
Medium,Stredný
Missing Delivery Address,Chýba doručovacia adresa
MM/YY,MM/RR
MORE ITEMS\nCOMING SOON!,ČOSKORO PRIBUDNÚ\nĎALŠIE POLOŽKY!
Move Pages,Otáčať strany
New Payment,Nová platba
Next,Ďalej
No,Nie
No Thanks,"Nie, ďakujem"
"No, keep it","Nie, ponechať"
Not now,Teraz nie
OK,OK
Only registered %d/%d image URLs with the asset endpoint,Iba registrované webové adresy obrázku %d/%d s koncovým bodom položky
Oops!,Ospravedlňujeme sa!
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,OSPRAVEDLŇUJEME SA\nVYSKYTOL SA PROBLÉM\n ZOPAKUJTE NIŽŠIE
Or print on a product below ▼,Alebo vytlačiť na nižšie uvedený produkt▼
Order History,História objednávok
Order Id,ID objednávky
Order Summary,Súhrn objednávky
Our store is currently undergoing maintenance so no products are available for purchase at this time. Please try again a little later.,"Keďže v našom obchode momentálne prebieha údržba, v tomto čase nie sú k dispozícii žiadne produkty na predaj. Skúste to znova trochu neskôr."
Pack of,Balík
Pay %@,Zaplatiť %@
Paying With,Platba prostredníctvom
Payment,Platba
Payment (TEST),Platba (TEST)
Payment Method,Spôsob platby
Phone,Telefón
Photo Library,Knižnica fotografií
Please add %d more.,Pridajte ešte %d.
Please add some photos,Pridajte niekoľko fotografií
Please add some photos to your photo book,Do fotoknihy pridajte ešte niekoľko fotografií
Please choose an address to have your order shipped to,Vyberte dodaciu adresu objednávky
Please enter a card expiry date in the future,Zadajte dátum vypršania platnosti karty
Please enter a valid card number,Zadajte platné číslo karty
Please enter a valid email address,Zadajte platnú e-mailovú adresu
Please enter a valid phone number,Zadajte platné telefónne číslo
Please enter your first and last name.,Zadajte vaše meno a priezvisko.
Please fill in Line 1 of the address.,Vyplňte 1. riadok adresy.
Please fill in your city.,Vyplňte mesto.
Please fill in your postal code.,Vyplňte PSČ.
Please scan the QR code using a QR reader app on your device.,Pomocou aplikácie s čítačkou QR kódov vo vašom zariadení naskenujte QR kód.
Please select %d images.,Vyberte %d obrázky/obrázkov.
Please select %ld photos,Vyberte %ld fotografie/fotografií
Please select at least %d images.,Vyberte aspoň %d obrázky/obrázkov.
Please select no more than %d images.,Vyberte maximálne %d obrázky/obrázkov.
Please select only %ld photo,Vyberte iba %ld fotografiu
Please select some images.,Vyberte niekoľko obrázkov.
Please select up to %ld photos,Vyberte až %ld fotografie/fotografií
Please zoom out or pick a higher quality image,Oddiaľte fotografiu alebo vyberte fotografiu s lepšou kvalitou
Postcode,PSČ
Powered by Kite.ly,Používa technológiu Kite.ly
Price,Cena
PRINT AT HOME,TLAČTE U VÁS DOMA
Print It Anyway,Môžete si to vytlačiť kdekoľvek
Print order submission failed with a %lu HTTP response status code. Please try again.,Kód pre stav odozvy protokolu HTTP %lu oznamuje neúspešné odoslanie objednávky tlače. Skúste to znova.
Print Shop,Print Shop
Print these,Vytlačiť tieto
Privacy Policy,Zásady ochrany osobných údajov,
Processing,Spracováva sa
PRODUCT OPTIONS,MOŽNOSTI PRODUKTU
Promo Code,Akciový kód
Promotional Discount,Propagačná zľava
Quantity,Množstvo
Receipt,Potvrdenie
Recents,Naposledy použité fotografie
Remove?,Odstrániť?
Required by the postal service in case there are any issues during delivery.,"Vyžaduje to poštová služba pre prípad, že by sa počas doručovania vyskytli problémy."
Retry,Skúsiť znova
Review,Zobraziť znova
Rotate,Otočiť
Save,Uložiť
Save as Copy,Uložiť ako kópiu
Scan QR Code,Naskenujte QR kód
Select Size,Vyberte veľkosť
Shipping,Dodanie
Shipping Method,Spôsob dodania
Single Photo Poster,Plagát s jednou fotografiou
Size,Veľkosť
Small,Malý
Start by tapping this button,Začnete ťuknutím na toto tlačidlo
Start Creating,Začať tvoriť
Store Maintenance,Údržba obchodu
Swipe to rotate your mug,Hrnček otočíte potiahnutím prsta
Tap image to change,Ťuknutím na obrázok ho môžete zmeniť
Tap image to change or hold to move,Ťuknutím na obrázok ho môžete zmeniť alebo pridržaním ho posuniete
Tap image to edit,Ťuknutím na obrázok ho môžete upraviť
Tap image to edit or hold to move,Ťuknutím na obrázok ho môžete upraviť alebo pridržaním ho posuniete
Tap on this button,Ťuknite na toto tlačidlo
Text Colour,Farba textu
TEXT TOOLS,NÁSTROJE TEXTU
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Pri získavaní produktov z obchodu Print Shop sa vyskytol problém. Skontrolujte internetové pripojenie alebo to skúste znova neskôr.
There was an error getting one of your photos. Please remove or replace it.,Pri získavaní jednej z fotografií sa vyskytol problém. Odstráňte ju alebo ju vymeňte.
There was an error trying to validate the card. Please try again later.,Pri pokuse o overenie karty sa vyskytol problém. Skúste to znova neskôr.
This is the 3-4 digit verification number/security code normally found on the back of your card,"Je to 3 – 4-miestne overovacie číslo/bezpečnostný kód, ktorý sa zvyčajne nachádza na zadnej strane karty"
This will discard your edits.,Týmto zahodíte úpravy.
"This will log out of any accounts, clear selected photos and start over","Týmto sa odhlásite zo všetkých účtov, vymažete vybrané fotografie a začnete odznova"
Total,Celkom
Tracked,Sledované
Uploading book,Nahráva sa kniha
Uploading Images \n%lu / %lu,Nahrávajú sa obrázky \n%lu / %lu
View Item,Zobraziť položku
WE HAVE RECEIVED\nYOUR ORDER,PRIJALI SME\nVAŠU OBJEDNÁVKU
We'll send you confirmation and order updates.,Zašleme vám potvrdenie a aktuálne informácie o stave objednávky.
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,"Zašleme vám potvrdenie a aktuálne informácie o stave objednávky. Ak nechcete dostávať reklamné kampane prostredníctvom e-mailu, zrušte začiarknutie tohto políčka."
Yes,Áno
Yes Please,"Áno, prosím"
"Yes, remove it","Áno, odstrániť"
You can add %d more for the same price.,Za rovnakú cenu môžete pridať uvedený počet ďalších: %d
You need to authorize the app to access your Instagram account if you want to import photos from there.,"Ak chcete importovať fotografie z Instagramu, musíte aplikácii udeliť oprávnenie na prístup k vášmu účtu."
You've only selected %d photo.,Vybrali ste iba %d fotografiu.
You've only selected %d photos.,Vybrali ste iba %d fotografie/fotografií.
You've selected %d photos.,Vybrali ste %d fotografie/fotografií.
Your 15-16 digit card number,15 – 16-miestne číslo vašej karty
Your card expiry date,Dátum vypršania platnosti vašej karty
Your payment was not approved (transaction state: %@). Please try again.,Platba nebola schválená (stav transakcie: %@). Skúste to znova.
Your Phone,Váš telefón
Potrebujeme prístup k vašim fotografiám v zariadení %@
basket.Edit,Upraviť
ZIP Code,ZIP
%@ working days,%@ pracovné/-ých dni/-í
We need access to your %@ photos,Potrebujeme prístup k vašim fotografiám v zariadení %@
