ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Great gifts for all the family,Cadeaux idéals pour toute la famille,
IMAGE TOOLS,Outils,
Image upload failed with a %lu HTTP response status code. Please try again.,Erreur de téléchargement. Vérifiez votre connection internet et réessayez.,
inches,N/A => please speak in cm,
Large,Grand,
Let's pick\nan image!,Choisir une photo,
Log In,Connexion,
Log out,Déconnexion,
Login,Identifiant,
Maximum Photos Reached,Nombre maximum de photos atteint,
Medium,Moyen,
MM/YY,MM/AA,
MORE ITEMS\nCOMING SOON!,Nouveautés bientôt disponibles !,
No,Non,
No Thanks,Non merci,
"No, keep it",Non merci,
Not now,Pas maintenant,
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,Oops ! Une erreur est survenue. Veuillez réessayer,
Or print on a product below â–¼,Ou imprimez sur l'un des produits ci-dessous,
Order History,Historique de commande,
Pack of,Lot de,
Photo Library,Galerie photos,
Please add %d more.,Ajoutez %d photos,
Please add some photos,Ajoutez des photos,
Please enter your first and last name.,Complétez vos prénom et nom,
Please fill in Line 1 of the address.,Complétez votre adresse,
Please fill in your city.,Complétez votre ville,
Please fill in your postal code.,Complétez votre code postal,
Please scan the QR code using a QR reader app on your device.,Scannez le QR code avec votre lecteur,
Please select %d images.,Choisissez %d images,
Please select %ld photos,Choisissez %d images,
Please select at least %d images.,Choisissez au moins %d images,
Please select no more than %d images.,Choisissez %d images maximum,
Please select only %ld photo,Choisissez %ld images,
Please select some images.,Choisissez des images,
Please select up to %ld photos,Choisissez %ld images maximum,
PRINT AT HOME,Imprimez chez vous,
Print It Anyway,Imprimez,
Print Shop,Print Shop,
Privacy Policy,Politique de confidentialité,
PRODUCT OPTIONS,Options,
Promotional Discount,Promotion,
Receipt,Facture,
Recents,Récent,
Remove?,Supprimer ?,
Rotate,Rotation,
Save as Copy,Enregistrer une copie,
Scan QR Code,Scannez le QR code,
Select Size,Sélectionner la taille,
Shipping Method,Mode de livraison,
Small,Petit,
Start by tapping this button,Démarrez ici,
Start Creating,Démarrez,
Swipe to rotate your mug,Cliquez pour faire pivoter le mug,
Tap image to change,Cliquez sur l'image pour en changer,
Tap image to change or hold to move,Cliquez sur l'image pour en changer ou maintenez appuyé pour déplacer,
Tap image to edit,Cliquez sur l'image pour la modifier,
Tap image to edit or hold to move,Cliquez sur l'image pour la modifier ou maintenez appuyé pour déplacer,
Tap on this button,Cliquez ici,
Text Colour,Couleur du texte,
TEXT TOOLS,Outils texte,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Une erreur est survenue. Vérifiez votre connection internet et réessayez.,
There was an error getting one of your photos. Please remove or replace it.,Erreur de téléchargement. Veuillez supprimer ou remplacer votre photo,
There was an error trying to validate the card. Please try again later.,Probème de validation de carte. Veuillez réessayer ultérieurement,
This will discard your edits.,Cela va supprimer vos modifications,
"This will log out of any accounts, clear selected photos and start over","Vous allez être déconnecté, votre sélection sera effacée et vous pourrez recommencer",
Tracked,Suivi,
Uploading book,Chargement,
View Item,Afficher,
WE HAVE RECEIVED\nYOUR ORDER,Nous avons reçu \n votre commande,
We need access to your %@ photos,Nous avons besoin d'accéder à vos photos %@,/* Example: We need access to your iPhone photos */
Yes,oui,
Yes Please,oui,
"Yes, remove it","oui, supprimer",
You need to authorize the app to access your Instagram account if you want to import photos from there.,Autoriser l'application à accéder à votre compte Instagram pour importer les photos.,
You've only selected %d photo.,Seulement %d photo sélectionné,
You've only selected %d photos.,Seulement %d photos sélectionnées,
Your Phone,Votre téléphone,
