ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Failed to log in to Instagram. Please check your internet connectivity and try again,Fehler bei der Anmeldung zu Instagram. Bitte überprüfe deine Internetverbindung und versuche es erneut,
Failed to store card details with PayPal. Please try again.,Speicherung der Kreditkartendaten bei PayPal fehlgeschlagen. Bitte erneut versuchen.,
Failed to synchronize product templates. Please try again.,Synchronisation der Produkt-Templates fehlgeschlagen Bitte erneut versuchen.,
Failed to validate the order. Please try again.,Bestellbestätigung fehlgeschlagen. Bitte erneut versuchen.,
Filters,Filter,
First Name,Vorname,
Flip,Spiegeln,
Fonts,Schriftarten,
For only %@ extra,Für nur 10 mehr,
Great gifts for all the family,Großartige Geschenke für die ganze Familie,
IMAGE TOOLS,BILDWERKZEUGE,
Image Is Too Small,Bild ist zu klein,
Image upload failed with a %lu HTTP response status code. Please try again.,Bild-Upload fehlgeschlagen mit einem %lu HTTP Antwort Status Code. Bitte versuche es erneut.,
Invalid Email Address,Ungültige E-Mail Adresse,
Invalid Phone Number,Ungültige Telefonnummer,
Large,Groß,
Last Name,Nachname,
Let's pick\nan image!,Lass uns\nein Bild auswählen!,
Line 1,Linie 1,
Line 2,Linie 2,
Log In,Einloggen,
Log out,Ausloggen,
Login,Anmeldung,
MM/YY,MM/JJ,
MORE ITEMS\nCOMING SOON!,WEITERE ARTIKEL\nFOLGEN IN KÜRZE!,
Maximum Photos Reached,Maximale Anzahl an Fotos erreicht,
Medium,Mittel,
Missing Delivery Address,Fehlende Lieferadresse,
Move Pages,Seiten verschieben,
New Payment,Neue Zahlung,
Next,Weiter,
No Thanks,"Nein, danke",
No photos,Keine Fotos,
No,Nein,
Not now,Nicht jetzt,
OK,OK,
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,OOPS\nETWAS IST SCHIEF GEGANGEN \nBITTE VERSUCHEN SIE ES ERNEUT,
Only registered %d/%d image URLs with the asset endpoint,Nur registrierte %d/%d Bild-URLs mit dem Asset-Endpunkt,
Oops!,Ups!,
Or print on a product below ▼,Oder auf eines der unteren Produkte drucken ▼,
Order History,Bestellablauf,
Order Id,Bestellnummer,
Order Summary,Zusammenfassung der Bestellung,
Our store is currently undergoing maintenance so no products are available for purchase at this time. Please try again a little later.,"Zur Zeit werden Wartungsarbeiten durchgeführt, daher ist der Verkauf vorübergehend nicht möglich. Bitte versuche es später erneut.",
PRINT AT HOME,ZU HAUSE DRUCKEN,
PRODUCT OPTIONS,PRODUKTOPTIONEN,
Pack of,Packung von,
Pay %@,Bezahlen %@,
Paying With,Bezahlen mit,
Payment (TEST),Zahlung (Test),
Payment Method,Zahlungsmethode,
Payment,Zahlung,
Phone,Telefonnummer,
Please add %d more.,Bitte füge %d mehr hinzu.,
Please add at least one photo,Bitte füge mindestens ein Foto hinzu,
Please add some photos to your photo book,Bitte füge deinem Fotobuch einige Fotos hinzu,
Please choose an address to have your order shipped to,Bitte Lieferadresse wählen,
Please enter a card expiry date in the future,Bitte ein Kartenablaufdatum in der Zukunft eingeben,
Please enter a valid card number,Bitte gültige Kartennummer eingeben,
Please enter a valid email address,Bitte eine gültige E-Mail Adresse eingeben,
Please enter a valid phone number,Bitte gültige Telefonnummer eingeben,
Please enter your first and last name.,Bitte gib deinen Vor- und Nachnamen ein.,
Please fill in Line 1 of the address.,Bitte fülle Zeile 1 der Adresse aus.,
Please fill in your city.,Bitte geben Du Ihre Stadt.,
Please fill in your postal code.,Bitte gib deine Postleitzahl ein.,
Please scan the QR code using a QR reader app on your device.,Bitte scanne den QR-Code mit einer QR-Reader-App auf deinem Gerät.,
Please select %d images.,Bitte wähle %d Bilder aus.,
Please select %ld photos,Bitte wähle %ld Fotos aus,
Please select at least %d images.,Bitte wähle mindestens %d Bilder aus.,
Please select no more than %d images.,Bitte wähle nicht mehr als %d Bilder aus.,
Please select only %ld photo,Bitte wähle nur %ld Foto aus,
Please select some images.,Bitte wähle einige Bilder aus.,
Please select up to %ld photos,Bitte wähle bis zu %ld Fotos aus,
Please zoom out or pick a higher quality image,Bitte zoomen oder ein Bild mit höherer Qualität aussuchen.,
Postcode,Postleitzahl,
Powered by Kite.ly,Ausführung durch Kite.ly,
Price,Preis,
Print It Anyway,Trotzdem drucken,
Print Shop,Printshop,
Print order submission failed with a %lu HTTP response status code. Please try again.,Übermittlung des Druckauftrags fehlgeschlagen mit %lu HTTP Status Code. Bitte erneut versuchen. ,
Print these,Diese drucken,
Processing,Verarbeitung,
Promo Code,Aktions-Code,
Promotional Discount,Aktions-Rabatt,
Quantity,Anzahl,
Receipt,Eingang,
Recents,Kürzlich verwendet,
Remove,Entfernen,
Remove?,Entfernen?,
Required by the postal service in case there are any issues during delivery.,"Für die Postzustellung erforderlich, um Probleme bei der Zustellung zu vermeiden.",
Retry,Erneut versuchen,
Review,Bewerten,
Rotate,Drehen,
Save,Speichern,
Scan QR Code,QR-Code scannen,
Search for Address,Nach Adresse suchen,
Select Size,Größe auswählen,
Shipping,Versand,
Single Photo Poster,Einzelfoto Poster,
Size,Größe,
Small,Klein,
Start Creating,Jetzt erstellen,
Start by tapping this button,Loslegen durch Klick auf Button,
State,Status,
Store Maintenance,Wartungsarbeiten im Store,
Swipe to rotate your mug,Wischen um die Tasse zu drehen,
TEXT TOOLS,TEXTWERKZEUGE,
Tap image to change,Bild antippen zum Ändern,
Tap image to edit,Bild antippen zum Bearbeiten,
Tap on this button,Auf diesen Button tippen,
Tap to edit,Zum Bearbeiten antippen,
Tap to swap pages. Hold for more options.,Antippen zum Verschieben der Seiten. Halten für mehr Optionen. ,
Text Colour,Textfarbe,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Es gab ein Problem mit den Printshop Produkten. Überprüfe deine Internetverbindung oder versuche es später erneut.,
There was an error getting one of your photos. Please remove or replace it.,Es gab einen Fehler beim Laden eines deiner Fotos. Bitte entferne oder ersetze es.,
There was an error trying to validate the card. Please try again later.,Es ist ein Fehler aufgetreten bei der Überprüfung der Kreditkarte. Bitte versuche es später noch einmal.,
This is the 3-4 digit verification number/security code normally found on the back of your card,Dies ist die 3- oder 4- stellige Prüfnummer auf der Rückseite deiner Karte,
This will discard your edits.,Das wird deine Änderungen verwerfen.,
Total,Summe,
Uploading Images \n%lu / %lu,Bilder hochladen \n%lu / %lu,
Uploading book,Buch hochladen,
View Item,Artikel ansehen,
WE HAVE RECEIVED\nYOUR ORDER,WIR HABEN IHRE\nBESTELLUNG ERHALTEN,
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,"Wir werden Dir eine Bestellbestätigung und den Status deiner Lieferung senden. Um dies nicht zu erhalten, bitte das Kästchen nicht anklicken. ",
We'll send you confirmation and order updates.,Wir werden Dir eine Bestellbestätigung und den Status deiner Lieferung senden.,
Yes Please,Ja bitte,
Yes,Ja,
You can add %d more for the same price.,Du kannst mehr %d hinzufügen für den gleichen Preis.,
You can add more photos,Du kannst weitere Fotos hinzufügen.,
You need to authorize the app to access your Instagram account if you want to import photos from there.,"Du musst die App autorisieren auf dein Instagram-Konto zuzugreifen, wenn du Fotos von dort importieren möchtest.",
You've only selected %d photo.,Du hast nur %d Foto ausgewählt.,
You've only selected %d photos.,Du hast nur %d Fotos ausgewählt.,
You've selected %d photos.,Du hast %d Fotos ausgewählt.,
Your 15-16 digit card number,Deine 15- oder 16-stellige Kartennummer,
Your Phone,Dein Smartphone,
Your card expiry date,Ablaufdatum deiner Karte. ,
Your payment was not approved (transaction state: %@). Please try again.,Deine Zahlung ist nicht anerkannt worden (Vorgang: %@) Bitte versuche es noch einmal.,
ZIP Code,Postleitzahl,
basket.Edit,Bearbeiten,
cm,cm,
inches,Zoll,
