ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Please fill in your postal code.,Fyll inn postkoden din.,
Please scan the QR code using a QR reader app on your device.,Skann QR-koden ved å bruke en app for QR-kodelesing på enheten din.,
Please select %d images.,Velg %d bilder.,/* Please select [number] images */
Please select %ld photos,Velg %ld bilder,
Please select at least %d images.,Velg minst %d bilder.,/* Please select at least [number] images */
Please select no more than %d images.,Velg ikke mer enn %d bilder.,/* Please select no more than [number] images */
Please select only %ld photo,Velg bare %ld bilde,
Please select some images.,Velg noen bilder.,
Please select up to %ld photos,Velg opptil %ld bilder,
Please zoom out or pick a higher quality image,Zoom ut eller velg et bilde av høyere kvalitet,
Postcode,Postnummer,
Powered by Kite.ly,Drevet av Kite.ly,
Price,Pris,
Print It Anyway,Skriv ut uansett,
Print Shop,Print Shop,
Print order submission failed with a %lu HTTP response status code. Please try again.,Innsending av utskriftsbestilling mislyktes med en %lu HTTP-svarstatuskode. Prøv på nytt.,
Print these,Skriv ut disse,
Processing,Behandler,/* Processing the order */
Promo Code,Kampanjekode,
Promotional Discount,Kampanjerabatt,
Quantity,Antall,/* Quantity of photos */
Receipt,Kvittering,
Recents,Nylige,/* Recent photos used */
Remove?,Fjerne?,/* Remove [photo]? */
Required by the postal service in case there are any issues during delivery.,Kreves av postvesenet i tilfelle det oppstår problemer ved levering.,
Retry,Prøv på nytt,
Review,Vise tatt bilde,/* Title of a screen where the user can review the product before ordering */
Rotate,Roter,/* Rotate image by 90 degrees */
Save as Copy,Lagre som kopi,
Save,Lagre,
Scan QR Code,Skann QR-kode,
Select Size,Velg størrelse,/* Example: Shirt size */
Shipping Method,Forsendelsesmetode,
Shipping,Sender,
Single Photo Poster,Plakat med ett bilde,
Size,Størrelse,/* Physical size of the product */
Small,Liten,
Start Creating,Begynn å opprette,/* Start Creating [your product] */
Start by tapping this button,Start ved å trykke på denne knappen,
Store Maintenance,Lagre vedlikehold,
Swipe to rotate your mug,Dra for å rotere koppen,
TEXT TOOLS,TEKSTVERKTØY,
Tap image to change or hold to move,"Trykk på bildet for å endre, eller hold for å flytte",
Tap image to change,Trykk på bildet for å endre,
Tap image to edit or hold to move,"Trykk på bildet for å redigere, eller hold for å flytte",
Tap image to edit,Trykk på bildet for å redigere,
Tap on this button,Trykk på denne knappen,
Text Colour,Tekstfarge,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,"Det oppstod et problem under henting av Print Shop-produkter. Kontroller Internett-tilkoblingen, eller prøv på nytt senere.",
There was an error getting one of your photos. Please remove or replace it.,Det oppstod en feil ved henting av ett av bildene dine. Fjern det eller bytt det ut.,
There was an error trying to validate the card. Please try again later.,Det oppstod en feil da du forsøkte å validere kortet. Prøv igjen senere.,
This is the 3-4 digit verification number/security code normally found on the back of your card,Dette er bekreftelsesnummeret/sikkerhetskoden på 3 eller 4 siffer som vanligvis er å finne på baksiden av kortet,
This will discard your edits.,Endringene dine blir nå forkastet.,"/* The image edits, like crop, filters, etc */"
Total,Totalt,
Tracked,Sporet,
Uploading Images \n%lu / %lu,Laster opp bilder \n%lu / %lu,
Uploading book,Laster opp bok,
View Item,Vis vare,/* View [basket] item */
WE HAVE RECEIVED\nYOUR ORDER,VI HAR MOTTATT\nBESTILLINGEN DIN,
We need access to your %@ photos,Vi trenger tilgang til bildene i %@,/* Example: We need access to your iPhone photos */
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,Vi sender deg en bekreftelse og bestillingsoppdateringer. Fjern merkingen av denne boksen for å melde deg ut av e-postkampanjer.,
We'll send you confirmation and order updates.,Vi sender deg en bekreftelse og bestillingsoppdateringer.,
Yes Please,Ja takk,
Yes,Ja,
You can add %d more for the same price.,Du kan legge til %d til for samme pris.,
You need to authorize the app to access your Instagram account if you want to import photos from there.,Du må godkjenne appen for å få tilgang til Instagram-kontoen din hvis du vil importere bilder derfra.,
You've only selected %d photo.,Du har bare valgt %d bilde.,
You've only selected %d photos.,Du har bare valgt %d bilder.,
You've selected %d photos.,Du har valgt %d bilder.,
Your 15-16 digit card number,Kortnummeret ditt på 15–16 siffer,
Your Phone,Telefonen din,"/* Device, not number */"
Your card expiry date,Kortets utløpsdato,
Your payment was not approved (transaction state: %@). Please try again.,Betalingen din ble ikke godkjent (transaksjonstilstand: %@). Prøv på nytt.,
ZIP Code,ZIP,
basket.Edit,Rediger,/* Edit basket item */
cm,cm,/* Centimeters */
inches,tommer,
