ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Our store is currently undergoing maintenance so no products are available for purchase at this time. Please try again a little later.,"A nossa loja está atualmente em manutenção, pelo que nenhum produto está disponível para compra no momento. Tente novamente um pouco mais tarde.",
PRINT AT HOME,IMPRIMIR EM CASA,
PRODUCT OPTIONS,OPÇÕES DE PRODUTOS,
Pack of,Pacote de,/* Pack of [20 square photos] */
Pay %@,Pagar %@,/* Pay [$10.00] */
Paying With,Pagar com,/* Paying with [PayPal/Credit Card] */
Payment (TEST),Pagamento (TESTE),
Payment Method,Método de pagamento,
Payment,Pagamento,
Phone,Telefone,
Photo Library,Biblioteca de fotografias,
Please add %d more.,Adicione mais %d.,/* Please add [a number] more [photos] */
Please add some photos to your photo book,Adicione algumas fotografias ao seu álbum de fotografias,
Please add some photos,Adicione algumas fotografias,
Please choose an address to have your order shipped to,Selecione um endereço de envio para a sua encomenda,
Please enter a card expiry date in the future,Introduza no futuro uma data de validade do cartão,/* For credit cards */
Please enter a valid card number,Introduza um número de cartão válido,
Please enter a valid email address,Introduza um endereço de e-mail válido,
Please enter a valid phone number,Introduza um número de telefone válido,
Please enter your first and last name.,Introduza o seu nome e apelido.,
Please fill in Line 1 of the address.,Preencha a Linha 1 do endereço.,
Please fill in your city.,Introduza a sua localidade.,
Please fill in your postal code.,Introduza o seu código postal.,
Please scan the QR code using a QR reader app on your device.,Digitalize o código QR utilizando a aplicação do leitor de códigos QR no seu dispositivo.,
Please select %d images.,Selecione %d imagens.,/* Please select [number] images */
Please select %ld photos,Selecione %ld fotografias,
Please select at least %d images.,Selecione pelo menos %d imagens.,/* Please select at least [number] images */
Please select no more than %d images.,Não selecione mais do que %d imagens.,/* Please select no more than [number] images */
Please select only %ld photo,Selecione apenas %ld fotografia,
Please select some images.,Selecione algumas imagens.,
Please select up to %ld photos,Selecione até %ld fotografias,
Please zoom out or pick a higher quality image,Diminua o zoom ou selecione uma imagem de qualidade superior,
Postcode,Código postal,
Powered by Kite.ly,Com tecnologia da Kite.ly,
Price,Preço,
Print It Anyway,Imprimir mesmo assim,
Print Shop,Centro de impressão,
Print order submission failed with a %lu HTTP response status code. Please try again.,Falha no envio da ordem de impressão com um código de estado de resposta HTTP %lu. Tente novamente.,
Print these,Imprimir estes artigos,
Privacy Policy,Política de privacidade,
Processing,A processar,/* Processing the order */
Promo Code,Código promocional,
Promotional Discount,Desconto promocional,
Quantity,Quantidade,/* Quantity of photos */
Receipt,Recibo,
Recents,Recentes,/* Recent photos used */
Remove?,Remover?,/* Remove [photo]? */
Required by the postal service in case there are any issues during delivery.,Exigido pelo serviço postal em caso de problemas durante a entrega.,
Retry,Tentar novamente,
Review,Análise,/* Title of a screen where the user can review the product before ordering */
Rotate,Rodar,/* Rotate image by 90 degrees */
Save as Copy,Guardar como cópia,
Save,Poupe,
Scan QR Code,Digitalizar código QR,
Select Size,Selecionar tamanho,/* Example: Shirt size */
Shipping Method,Método de envio,
Shipping,Envio,
Single Photo Poster,Póster com uma fotografia,
Size,Tamanho,/* Physical size of the product */
Small,Pequeno,
Start Creating,Começar a criar,/* Start Creating [your product] */
Start by tapping this button,Comece por tocar neste botão,
Store Maintenance,Manutenção da loja,
Swipe to rotate your mug,Deslize para rodar a caneca,
TEXT TOOLS,FERRAMENTAS DE TEXTO,
Tap image to change or hold to move,Toque na imagem para alterar ou mantenha-a premida para mover,
Tap image to change,Toque na imagem para alterar,
Tap image to edit or hold to move,Toque na imagem para editar ou mantenha-a premida para mover,
Tap image to edit,Toque na imagem para editar,
Tap on this button,Toque neste botão,
Text Colour,Cor do texto,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Ocorreu um problema na obtenção de produtos da Print Shop. Verifique a sua ligação à Internet ou tente novamente mais tarde.,
There was an error getting one of your photos. Please remove or replace it.,Ocorreu um erro ao obter uma das suas fotografias. Remova ou substitua.,
There was an error trying to validate the card. Please try again later.,Ocorreu um erro ao tentar validar o cartão. Tente novamente mais tarde.,
This is the 3-4 digit verification number/security code normally found on the back of your card,Este é o número de verificação/código de segurança de 3-4 dígitos que se encontra normalmente no verso do seu cartão,
This will discard your edits.,Esta ação eliminará as suas edições.,"/* The image edits, like crop, filters, etc */"
Total,Total,
Tracked,Monitorizado,
Uploading Images \n%lu / %lu,A carregar imagens \n%lu / %lu,
Uploading book,A carregar o álbum,
View Item,Ver artigo,/* View [basket] item */
WE HAVE RECEIVED\nYOUR ORDER,RECEBEMOS\nA SUA ENCOMENDA,
We need access to your %@ photos,Necessitamos de acesso às suas fotografias %@,
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,Iremos enviar-lhe uma confirmação e atualizações da encomenda. Desmarque esta caixa para cancelar as campanhas de e-mail.,
We'll send you confirmation and order updates.,Iremos enviar-lhe uma confirmação e atualizações da encomenda.,
Yes Please,Sim,
Yes,Sim,
You can add %d more for the same price.,Pode adicionar mais %d pelo mesmo preço.,
You need to authorize the app to access your Instagram account if you want to import photos from there.,"Se quiser importar as fotografias da sua conta de Instagram, tem de dar autorização à aplicação para aceder à conta.",
You've only selected %d photo.,Selecionou apenas %d fotografia.,
You've only selected %d photos.,Selecionou apenas %d fotografias.,
You've selected %d photos.,Selecionou %d fotografias.,
Your 15-16 digit card number,O número do seu cartão de 15-16 dígitos,
Your Phone,O seu telemóvel,"/* Device, not number */"
Your card expiry date,A data de validade do seu cartão,
Your payment was not approved (transaction state: %@). Please try again.,O seu pagamento não foi aprovado (estado da transação: %@). Tente novamente.,
cm,cm,/* Centimeters */
inches,polegadas,
basket.Edit,Editar,/* Edit basket item */
ZIP Code,ZIP,
