%ldx%ld Collage,%1$ldx%2$ld Collage,/* No comment provided by engineer. */
**Description**\n%@\n\n,**Description**\n%@\n\n,/* No comment provided by engineer. */
**Price**\n%@\n\n,**Price**\n%@\n\n,/* No comment provided by engineer. */
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!",/* No comment provided by engineer. */
**Quantity**\n%lu\n\n,**Quantity**\n%lu\n\n,/* No comment provided by engineer. */
**Shipping**\n%@\n\n,**Shipping**\n%@\n\n,/* No comment provided by engineer. */
**Shipping**\nFREE\n\n,**Shipping**\nFREE\n\n,/* No comment provided by engineer. */
**Shipping**\n~%@~ %@\n\n,**Shipping**\n~%1$@~ %2$@\n\n,/* No comment provided by engineer. */
**Size**\n%@\n\n,**Size**\n%@\n\n,/* No comment provided by engineer. */
Our store is currently undergoing maintence so no products are available for purchase at this time. Please try again a little later.,Our store is currently undergoing maintence so no products are available for purchase at this time. Please try again a little later.,/* No comment provided by engineer. */
Pack of,Pack of,/* No comment provided by engineer. */
Pay,Pay,/* No comment provided by engineer. */
Pay %@,Pay %@,/* No comment provided by engineer. */
Pay with card ending %@,Pay with card ending %@,/* No comment provided by engineer. */
Pay with Credit Card,Pay with Credit Card,/* No comment provided by engineer. */
Pay with Credit Card (TEST),Pay with Credit Card (TEST),/* No comment provided by engineer. */
Pay with new card,Pay with new card,/* No comment provided by engineer. */
Paying With,Paying With,/* No comment provided by engineer. */
Payment,Payment,/* No comment provided by engineer. */
Payment (TEST),Payment (TEST),/* No comment provided by engineer. */
Payment Method,Payment Method,/* No comment provided by engineer. */
Phone,Phone,/* No comment provided by engineer. */
Please add %d more.,Please add %d more.,/* No comment provided by engineer. */
Please add at least one photo,Please add at least one photo,/* No comment provided by engineer. */
Please add some photos to your photo book,Please add some photos to your photo book,/* No comment provided by engineer. */
Please choose an address to have your order shipped to,Please choose an address to have your order shipped to,/* No comment provided by engineer. */
Please enter a card expiry date in the future,Please enter a card expiry date in the future,/* No comment provided by engineer. */
Please enter a valid card number,Please enter a valid card number,/* No comment provided by engineer. */
Please enter a valid email address,Please enter a valid email address,/* No comment provided by engineer. */
Please enter a valid phone number,Please enter a valid phone number,/* No comment provided by engineer. */
Please enter your first and last name.,Please enter your first and last name.,/* No comment provided by engineer. */
Please fill in Line 1 of the address.,Please fill in Line 1 of the address.,/* No comment provided by engineer. */
Please fill in your postal code.,Please fill in your postal code.,/* No comment provided by engineer. */
Please scan the QR code using a QR reader app on your device.,Please scan the QR code using a QR reader app on your device.,/* No comment provided by engineer. */
Please select %d images.,Please select %d images.,/* No comment provided by engineer. */
Please select %ld photos,Please select %ld photos,/* No comment provided by engineer. */
Please select at least %d images.,Please select at least %d images.,/* No comment provided by engineer. */
Please select no more than %d images.,Please select no more than %d images.,/* No comment provided by engineer. */
Please select only %ld photo,Please select only %ld photo,/* No comment provided by engineer. */
Please select some images.,Please select some images.,/* No comment provided by engineer. */
Please select up to %ld photos,Please select up to %ld photos,/* No comment provided by engineer. */
Please zoom out or pick a higher quality image,Please zoom out or pick a higher quality image,/* No comment provided by engineer. */
Postcode,Postcode,/* No comment provided by engineer. */
Powered by Kite.ly,Powered by Kite.ly,/* No comment provided by engineer. */
PRINT AT HOME,PRINT AT HOME,/* No comment provided by engineer. */
Print It Anyway,Print It Anyway,/* No comment provided by engineer. */
Print order submission failed with a %lu HTTP response status code. Please try again.,Print order submission failed with a %lu HTTP response status code. Please try again.,/* No comment provided by engineer. */
Print Shop,Print Shop,/* No comment provided by engineer. */
Print these,Print these,/* No comment provided by engineer. */
Processing,Processing,/* No comment provided by engineer. */
PRODUCT OPTIONS,PRODUCT OPTIONS,/* No comment provided by engineer. */
Promo Code,Promo Code,/* No comment provided by engineer. */
Promotional Discount,Promotional Discount,/* No comment provided by engineer. */
Recents,Recents,/* No comment provided by engineer. */
Remove,Remove,/* No comment provided by engineer. */
Remove?,Remove?,/* No comment provided by engineer. */
Required by the postal service in case there are any issues during delivery.,Required by the postal service in case there are any issues during delivery.,/* No comment provided by engineer. */
Retry,Retry,/* No comment provided by engineer. */
Review,Review,/* No comment provided by engineer. */
Rotate,Rotate,/* No comment provided by engineer. */
Save,Save,/* No comment provided by engineer. */
Scan QR Code,Scan QR Code,/* No comment provided by engineer. */
"Search by postcode, street or address","Search by postcode, street or address",/* No comment provided by engineer. */
"Search by street, address or ZIP code","Search by street, address or ZIP code",/* No comment provided by engineer. */
Search for Address,Search for Address,/* No comment provided by engineer. */
Select size,Select size,/* No comment provided by engineer. */
Shipping,Shipping,/* No comment provided by engineer. */
Single Photo Poster,Single Photo Poster,/* No comment provided by engineer. */
Small,Small,/* No comment provided by engineer. */
Start by tapping this button,Start by tapping this button,/* No comment provided by engineer. */
Start Creating,Start Creating,/* No comment provided by engineer. */
State,State,/* No comment provided by engineer. */
Store Maintenance,Store Maintenance,/* No comment provided by engineer. */
Swipe to rotate your mug,Swipe to rotate your mug,/* No comment provided by engineer. */
Tap Image to Change,Tap Image to Change,/* No comment provided by engineer. */
Tap Image to Change ,Tap Image to Change ,/* No comment provided by engineer. */
Tap Image to Edit,Tap Image to Edit,/* No comment provided by engineer. */
Tap Image to Edit or Hold to Rearrange,Tap Image to Edit or Hold to Rearrange,/* No comment provided by engineer. */
Tap on this button,Tap on this button,/* No comment provided by engineer. */
Tap to edit,Tap to edit,/* No comment provided by engineer. */
Tap to swap pages. Hold for more options.,Tap to swap pages. Hold for more options.,/* No comment provided by engineer. */
TEXT COLOUR,TEXT COLOUR,/* No comment provided by engineer. */
Text Colour,Text Colour,/* No comment provided by engineer. */
TEXT TOOLS,TEXT TOOLS,/* No comment provided by engineer. */
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,/* No comment provided by engineer. */
There was an error getting one of your photos. Please remove or replace it.,There was an error getting one of your photos. Please remove or replace it.,/* No comment provided by engineer. */
There was an error trying to validate the card. Please try again later.,There was an error trying to validate the card. Please try again later.,/* No comment provided by engineer. */
This is the 3-4 digit verification number/security code normally found on the back of your card,This is the 3-4 digit verification number/security code normally found on the back of your card,/* No comment provided by engineer. */
This will discard your edits.,This will discard your edits.,/* No comment provided by engineer. */
Total,Total,/* No comment provided by engineer. */
Uploading book,Uploading book,/* No comment provided by engineer. */
Uploading Images \n%lu / %lu,Uploading Images \n%1$lu / %2$lu,/* No comment provided by engineer. */
View Item,View Item,/* No comment provided by engineer. */
We'll send you confirmation and order updates.,We'll send you confirmation and order updates.,/* No comment provided by engineer. */
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,/* No comment provided by engineer. */
Yes,Yes,/* No comment provided by engineer. */
Yes Please,Yes Please,/* No comment provided by engineer. */
"Yes, proceed","Yes, proceed",/* No comment provided by engineer. */
"Yes, remove it","Yes, remove it",/* No comment provided by engineer. */
You can add %d more for the same price.,You can add %d more for the same price.,/* No comment provided by engineer. */
You can add more photos,You can add more photos,/* No comment provided by engineer. */
You need to authorize the app to access your Instagram account if you want to import photos from there.,You need to authorize the app to access your Instagram account if you want to import photos from there.,/* No comment provided by engineer. */
You've only selected %d photo.,You've only selected %d photo.,/* No comment provided by engineer. */
You've only selected %d photos.,You've only selected %d photos.,/* No comment provided by engineer. */
You've selected %d photos.,You've selected %d photos.,/* No comment provided by engineer. */
Your 15-16 digit card number,Your 15-16 digit card number,/* No comment provided by engineer. */
Your card expiry date,Your card expiry date,/* No comment provided by engineer. */
Your payment was not approved (transaction state: %@). Please try again.,Your payment was not approved (transaction state: %@). Please try again.,/* No comment provided by engineer. */
Your Phone,Your Phone,/* No comment provided by engineer. */
ZIP Code,ZIP Code,/* No comment provided by engineer. */
ΟΚ,ΟΚ,/* No comment provided by engineer. */
